service_id,date,exception_type
RM00100014_106RM003,20170125,1
RM00100014_106RM001,20170126,1
RM00100014_106RM002,20170126,1
RM00100014_106RM003,20170126,1
RM00100014_106RM001,20170127,1
RM00100014_106RM002,20170127,1
RM00100014_106RM003,20170127,1
RM00100014_106RM001,20170130,1
RM00100014_106RM002,20170130,1
RM00100014_106RM003,20170130,1
RM00100014_106RM001,20170131,1
RM00100014_106RM002,20170131,1
RM00100014_106RM003,20170131,1
RM00100015_106RM001,20170107,1
RM00100015_106RM002,20170107,1
RM00100015_106RM001,20170114,1
RM00100015_106RM002,20170114,1
RM00100015_106RM001,20170121,1
RM00100015_106RM002,20170121,1
RM00100015_106RM001,20170128,1
RM00100015_106RM002,20170128,1
RM00100018_107M001,20170102,1
RM00100018_107M002,20170102,1
RM00100018_107M003,20170102,1
RM00100018_107M004,20170102,1
RM00100018_107M005,20170102,1
RM00100018_107M006,20170102,1
RM00100018_107M007,20170102,1
RM00100018_107M001,20170103,1
RM00100018_107M002,20170103,1
RM00100018_107M003,20170103,1
RM00100018_107M004,20170103,1
RM00100018_107M005,20170103,1
RM00100018_107M006,20170103,1
RM00100018_107M007,20170103,1
RM00100018_107M001,20170104,1
RM00100018_107M002,20170104,1
RM00100018_107M003,20170104,1
RM00100018_107M004,20170104,1
RM00100018_107M005,20170104,1
RM00100018_107M006,20170104,1
RM00100018_107M007,20170104,1
RM00100018_107M001,20170105,1
RM00100018_107M002,20170105,1
RM00100018_107M003,20170105,1
RM00100018_107M004,20170105,1
RM00100018_107M005,20170105,1
RM00100018_107M006,20170105,1
RM00100018_107M007,20170105,1
RM00100018_107M001,20170106,1
RM00100018_107M002,20170106,1
RM00100018_107M003,20170106,1
RM00100018_107M004,20170106,1
RM00100018_107M005,20170106,1
RM00100018_107M006,20170106,1
RM00100018_107M007,20170106,1
RM00100018_107M001,20170109,1
RM00100018_107M002,20170109,1
RM00100018_107M003,20170109,1
RM00100018_107M004,20170109,1
RM00100018_107M005,20170109,1
RM00100018_107M006,20170109,1
RM00100018_107M007,20170109,1
RM00100018_107M001,20170110,1
RM00100018_107M002,20170110,1
RM00100018_107M003,20170110,1
RM00100018_107M004,20170110,1
RM00100018_107M005,20170110,1
RM00100018_107M006,20170110,1
RM00100018_107M007,20170110,1
RM00100018_107M001,20170111,1
RM00100018_107M002,20170111,1
RM00100018_107M003,20170111,1
RM00100018_107M004,20170111,1
RM00100018_107M005,20170111,1
RM00100018_107M006,20170111,1
RM00100018_107M007,20170111,1
RM00100018_107M001,20170112,1
RM00100018_107M002,20170112,1
RM00100018_107M003,20170112,1
RM00100018_107M004,20170112,1
RM00100018_107M005,20170112,1
RM00100018_107M006,20170112,1
RM00100018_107M007,20170112,1
RM00100018_107M001,20170113,1
RM00100018_107M002,20170113,1
RM00100018_107M003,20170113,1
RM00100018_107M004,20170113,1
RM00100018_107M005,20170113,1
