route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
247,10,153,153: JORDÃO ALTO / TI AEROPORTO,,3,,,
248,15,630,630: VASCO DA GAMA / DERBY,,3,,,
249,10,162,162: MURIBECA / TI CAJUEIRO SECO,,3,,,
250,10,171,171: LOT. INTEGRAÇÂO / TI CAJUEIRO SECO,,3,,,
251,10,197,197: CABO / IPOJUCA ,,3,,,
252,10,172,172:  MARCOS FREIRE (BACURAU),,3,,,
254,16,302,302: TI TIP / CAXANGÁ,,3,,,
255,10,193,193: TI TANCREDO NEVES (RUA DO PRÍNCIPE),,3,,,
256,10,216,216: TI BARRO / TI CAJUEIRO SECO,,3,,,
257,10,163,163: CIRCULAR (CAJUEIRO SECO),,3,,,
258,10,195,195: RECIFE / PORTO DE GALINHAS (OPCIONAL),,3,,,
259,15,604,604: ALTO BURITY / MACAXEIRA,,3,,,
264,15,624,624: BREJO,,3,,,
265,15,626,626: BREJO (BACURAU),,3,,,
266,15,632,632: ALTO DO REFÚGIO,,3,,,
267,15,718,718: CÓRREGO DO EUCLIDES / DERBY,,3,,,
268,15,621,621: ALTO TREZE DE MAIO,,3,,,
269,15,631,631: NOVA DESCOBERTA (CABUGÁ) ,,3,,,
270,15,414,414: TORRE,,3,,,
271,10,178,178: PORTO DE SUAPE / TI CABO,,3,,,
272,10,196,196: NOSSA SENHORA  DO Ó / TI CABO,,3,,,
273,10,199,199: CAMELA / TI CABO,,3,,,
275,14,34,34: CURCURANA / TI CAJUEIRO SECO,,3,,,
276,14,37,37: COMPORTAS  / TI CAJUEIRO SECO,,3,,,
277,14,129,129: PAIVA / TI CABO,,3,,,
278,14,139,139: TI CABO / TI CAJUEIRO SECO,,3,,,
279,14,140,140: TI CAJUEIRO SECO / SHOPPING RECIFE,,3,,,
280,14,157,157: GAIBU / TI CABO,,3,,,
281,14,160,160: GAIBU / BARRA DE JANGADA - VIA PAIVA (Opcional),,3,,,
282,14,181,181: CABO (COHAB) / TI CAJUEIRO SECO,,3,,,
283,14,283,184: CABO (BACURAU),,3,,,
284,14,185,185:  TI CABO,,3,,,
285,14,159,159: CHARNECA / TI CABO,,3,,,
286,14,183,183: PONTE DOS CARVALHOS / TI CAJUEIRO SECO,,3,,,
287,17,2040,2040: CDU / BOA VIAGEM / CAXANGÁ,,3,,,
288,17,2060,2060: TI TANCREDO NEVES / TI MACAXEIRA,,3,,,
289,17, 2413,(EXTINTA) 2413: AVENIDA DO FORTE ,,3,,,
290,17, 2415,(EXTINTA) 2415: SÍTIO DAS PALMEIRAS,,3,,,
291,17, 2416,(EXTINTA) 2416: RODA DE FOGO,,3,,,
292,17, 2421,(EXTINTA) 2421: TORRÕES,,3,,,
293,17, 2422,(EXTINTA) 2422: MONSENHOR FABRÍCIO,,3,,,
294,17, 2423,(EXTINTA) 2423: ENGENHO DO MEIO,,3,,,
295,17,2426,2426: TORRÕES (BACURAU) ,,3,,,
296,17,2427,2427: MONSENHOR FABRÍCIO (BACURAU),,3,,,
297,17,2431,2431: CIDADE UNIVERSITÁRIA ,,3,,,
298,17,2435,2435: CDU (VÁRZEA) (BACURAU) ,,3,,,
299,17, 2425,(EXTINTA) 2425: BARBALHO (VIA DETRAN) ,,3,,,
300,17, 2433,(EXTINTA) 2433: BRASILIT,,3,,,
301,17,2432,2432: CDU (VÁRZEA),,3,,,
302,12,2270,700: Beberibe / Afogados,,3,,,
303,12,1307,700: Beberibe / Afogados,,3,,,
304,12,700,700: BEBERIBE / AFOGADOS,,3,,,
305,12,714,714: ALTO JOSÉ BONIFÁCIO (AV. NORTE),,3,,,
306,12,715,715: ALTO SANTA TEREZINHA (BACURAU),,3,,,
307,12,721,721: ÁGUA FRIA ,,3,,,
308,12,722,722: CAMPINA DO BARRETO,,3,,,
309,12,726,726: ALTO SANTA TEREZINHA (CDE. B. VISTA),,3,,,
310,12,730,730: BEBERIBE / AV. NORTE,,3,,,
311,12,731,731: BEBERIBE (ESPINHEIRO),,3,,,
312,12,742,742: LINHA DO TIRO,,3,,,
313,12,896,896: CIDADE TABAJARA / OURO PRETO ,,3,,,
314,12,760,760: DOIS UNIDOS / DERBY,,3,,,
315,12,780,780: ALTO SANTA TEREZINHA / DERBY,,3,,,
316,12,800,800: DOIS UNIDOS / AFOGADOS,,3,,,
317,12,822,822: JARDIM BRASIL I (CRUZ CABUGÁ) ,,3,,,
318,12,824,824: JARDIM BRASIL II (CRUZ CABUGÁ) ,,3,,,
319,2,058,058: EXPRESSO ARENA,,3,,,
320,12,7037,827: Jardim Brasil (Bacurau),,3,,,
321,12,827,827: JARDIM BRASIL (BACURAU) ,,3,,,
322,12,846,846: ÁGUAS COMPRIDAS (BACURAU),,3,,,
323,12,885,885: SÍTIO NOVO / RIO DOCE,,3,,,
324,12,884,884: JARDIM BRASIL / RIO DOCE ,,3,,,
325,15,601,601: PARQUE BOLA NA REDE / MACAXEIRA,,3,,,
326,12,711,711: ALTO DO PASCOAL ,,3,,,
327,12,712,712: ALTO SANTA TEREZINHA ,,3,,,
328,12,713,713: BOMBA DO HEMETÉRIO,,3,,,
329,12,717,717: JOSÉ AMARINO DOS REIS,,3,,,
330,1,8657,TESTE 612: Morroda,,3,,,
332,12,724,724: CHÃO DE ESTRELAS,,3,,,
333,12,741,741: DOIS UNIDOS,,3,,,
334,12,743,743: ALTO JOSÉ BONIFÁCIO (João de Barros),,3,,,
335,12,746,746: ALTO DO CAPITÃO,,3,,,
337,12,886,886: OURO PRETO / RIO DOCE,,3,,,
338,12,812,812: SITIO NOVO (AV. NORTE),,3,,,
343,8,060,060: TI TANCREDO NEVES / TI MACAXEIRA ,,3,,,
344,8, 118,118: PRAZERES / BOA VIAGEM,,3,,,
345,8, 518,518: APIPUCOS / RIOMAR (OPCIONAL) (EXTINTA),,3,,,
346,12, 914,914: PE-15 / AFOGADOS,,3,,,
347,13, 115,115: TI AEROPORTO / TI AFOGADOS,,3,,,
348,8, 155,155: JORDÃO BAIXO / BOA VIAGEM,,3,,,
349,2,2459,2459: TI COSME E DAMIÃO / TI CAXANGÁ,,3,,,
350,2,2456,2456: TI COSME E DAMIÃO / TI CAMARAGIBE (VIANA),,3,,,
351,7,411,411: PLAZA SHOPPING (DANTAS BARRETO),,3,,,
352,10,124,124: VILA DO SESI / TI TANCREDO NEVES,,3,,,
353,12,825,825: JARDIM BRASIL / JOANA BEZERRA,,3,,,
354,12,810,810: TI XAMBÁ / ENCRUZILHADA,,3,,,
355,12,820,820: TI XAMBÁ (CABUGÁ),,3,,,
356,12,831,831: AGUAZINHA / TI XAMBÁ ,,3,,,
357,12,841,841: NOVA OLINDA / TI XAMBÁ,,3,,,
358,12,842,842: ÁGUAS COMPRIDAS / TI XAMBÁ,,3,,,
359,12,843,843: ALTO DA BONDADE / TI XAMBÁ ,,3,,,
360,12,844,844: SANTA CASA / TI XAMBÁ ,,3,,,
361,12,852,852: CAIXA D´ÁGUA / TI XAMBÁ,,3,,,
362,12,870,870: TI XAMBÁ / TI LARGO DA PAZ ,,3,,,
363,6,1912,1912: CAETÉS I / TI ABREU E LIMA,,3,,,
364,6,1917,1917: CAETÉS II / TI ABREU E LIMA,,3,,,
365,6,1998,1998: CAETÉS III / TI ABREU E LIMA,,3,,,
367,6,1989,1989: LOTEAMENTO PLANALTO / TI ABREU E LIMA,,3,,,
368,2,2448,2448: ALTO SANTO ANTONIO / TI CAMARAGIBE,,3,,,
369,6,1901,(EXTINTA) 1901: CAETÉS I / TI MACAXEIRA,,3,,,
371,6,1962,1962: TI ABREU E LIMA (PCR),,3,,,
372,6,1988,1988: DESTERRO / TI ABREU E LIMA,,3,,,
373,6,1961,1961: TI ABREU E LIMA (DANTAS BARRETO) ,,3,,,
374,6,1986,1986: TI RIO DOCE/TI PE-15,,3,,,
375,12,744,744: DOIS UNIDOS (BACURAU),,3,,,
376,12,745,745: ALTO JOSÉ BONIFÁCIO (BACURAU),,3,,,
377,12,821,821: JARDIM BRASIL I (Estrada de Belém),,3,,,
378,12,823,823: JARDIM BRASIL II (Estrada de Belém),,3,,,
379,12,892,892: ALTO DO CAJUEIRO / TI XAMBÁ,,3,,,
380,12,861,861: TI XAMBÁ / TI JOANA BEZERRA,,3,,,
381,12,893,893: ALTO DA CONQUISTA / TI XAMBÁ ,,3,,,
382,12,895,895: ALTO SOL NASCENTE / TI XAMBÁ,,3,,,
383,12,894,894: ALTO DA SUCUPIRA (CORREGO DO ABACAXI) / TI XAMBÁ,,3,,,
384,12,847,847: ALTO NOVA OLINDA / TI XAMBÁ,,3,,,
385,12,882,882: TI XAMBÁ / RIO DOCE (CARLOS DE LIMA CAVALCANTI),,3,,,
386,12,881,881: TI XAMBÁ / RIO DOCE (AV. GETÚLIO VARGAS),,3,,,
387,12,916,916: OURO PRETO / JOANA BEZERRA ,,3,,,
388,12,883,883: TI XAMBÁ / TI PE-15 ,,3,,,
389,12,723,723: CAJUEIRO ,,3,,,
390,12,860,860: TI XAMBÁ (PRÍNCIPE),,3,,,
402,13,314,314: MANGUEIRA,,3,,,
403,13,221,221: VILA CARDEAL E SILVA,,3,,,
404,13,222,222: JARDIM UCHOA,,3,,,
405,13,211,211: VILA TAMANDARÉ,,3,,,
407,13,232,232: CAVALEIRO,,3,,,
408,13,412,412: SAN MARTIN (LARGO DA PAZ),,3,,,
409,13,312,312: MUSTARDINHA,,3,,,
410,13,274,274: LOTE 56 / JABOATÃO,,3,,,
411,13,7087,200: Jaboatão (Parador),,3,,,
412,13,3798,200: Jaboatão (Parador),,3,,,
413,13,5958,200: Jaboatão (Parador),,3,,,
414,13,5825,Linha 200: Jaboatão (Parador),,3,,,
415,13,6680,200: Jaboatão (PARADOR),,3,,,
416,13,285,200: Jaboatão (Parador),,3,,,
417,13, 200,200: JABOATAO (PARADOR),,3,,,
418,13,242,242: PACHECO,,3,,,
419,13,144,144: UR-04/TI TANCREDO NEVES,,3,,,
