stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
957,20256,20256,Parada,-8.10916106258417,-34.9538583328998,,,,,America/Recife
952,20251,20251,Parada,-8.10739995273012,-34.9518999991378,,,,,America/Recife
7696,PA19929,Terminal Conj. Hab. Yapotan,Parada,-8.11888439072247,-34.967024492294,,,,,America/Recife
5627,170040,170040,Parada,-8.12171106000455,-34.9608638881143,,,,,America/Recife
5628,170041,170041,Parada,-8.12471384212016,-34.961813888315,,,,,America/Recife
5629,170042,170042,Parada,-8.12610828666534,-34.9621055548281,,,,,America/Recife
5630,170043,170043,Parada,-8.12863883829445,-34.9624805544744,,,,,America/Recife
5619,170032,170032,Parada,-8.12889994842061,-34.9603416658509,,,,,America/Recife
5620,170033,170033,Parada,-8.13101661850824,-34.9595055551389,,,,,America/Recife
5623,170036,170036,Parada,-8.13221939401803,-34.9599277775329,,,,,America/Recife
5624,170037,170037,Parada,-8.13383328706867,-34.9590666659406,,,,,America/Recife
5615,170028,170028,Parada,-8.13678606299763,-34.9569749991027,,,,,America/Recife
5688,170101,170101,Parada,-8.1369610667831,-34.9558416663683,,,,,America/Recife
5616,170029,170029,Parada,-8.13649717665455,-34.9541722219851,,,,,America/Recife
5617,170030,170030,Parada,-8.13538328595982,-34.9515444437524,,,,,America/Recife
6144,190050,190050,Parada,-8.13397772986431,-34.9474916664588,,,,,America/Recife
6145,190051,190051,Parada,-8.13673051168375,-34.9476777771486,,,,,America/Recife
6249,190156,190156,Parada,-8.13755828846483,-34.9472805553033,,,,,America/Recife
6250,190157,190157,Parada,-8.13095828362098,-34.944852776964,,,,,America/Recife
6251,190158,190158,Parada,-8.12621939650159,-34.9437305550757,,,,,America/Recife
6252,190159,190159,Parada,-8.11986106048167,-34.9427749997326,,,,,America/Recife
1184,20489,20489,Parada,-8.11745550411465,-34.9424972218631,,,,,America/Recife
874,20176,20176,Parada,-8.11648884443586,-34.9409444438801,,,,,America/Recife
875,20177,20177,Parada,-8.11403884126312,-34.9392527770027,,,,,America/Recife
876,20178,20178,Parada,-8.11150999475923,-34.9375740108155,,,,,America/Recife
877,20179,20179,Parada,-8.10899439752388,-34.9349305547226,,,,,America/Recife
878,20180,20180,Parada,-8.10789994967923,-34.9312777773194,,,,,America/Recife
858,20160,20160,Parada,-8.10867217183176,-34.927113888234,,,,,America/Recife
859,20161,20161,Parada,-8.11174162231013,-34.9266916659588,,,,,America/Recife
1197,20513,20513,Parada,-8.11404995195523,-34.9259055553268,,,,,America/Recife
860,20162,20162,Parada,-8.11668328691166,-34.923605555182,,,,,America/Recife
861,20163,20163,Parada,-8.11855273165967,-34.9219583331539,,,,,America/Recife
862,20164,20164,Parada,-8.119905512319,-34.9203666659508,,,,,America/Recife
863,20165,20165,Parada,-8.1217832862432,-34.9182611109402,,,,,America/Recife
1189,20504,20504,Parada,-8.12521661961843,-34.9146694435621,,,,,America/Recife
7497,PA95123,EMBARQUE 12 - TI Tancredo Neves,Parada,-8.12157510663452,-34.9120929822629,,,,,America/Recife
831,20133,20133,Parada,-8.11986106774143,-34.9199722213457,,,,,America/Recife
832,20134,20134,Parada,-8.11772217637257,-34.9223749990027,,,,,America/Recife
833,20135,20135,Parada,-8.11600273192526,-34.9238749992781,,,,,America/Recife
834,20136,20136,Parada,-8.11176106589934,-34.9264361103371,,,,,America/Recife
835,20137,20137,Parada,-8.11005550564537,-34.9266777767368,,,,,America/Recife
864,20166,20166,Parada,-8.10708050758053,-34.9257638885934,,,,,America/Recife
865,20167,20167,Parada,-8.10712182249327,-34.9284864415383,,,,,America/Recife
866,20168,20168,Parada,-8.10779994772835,-34.9314999996247,,,,,America/Recife
867,20169,20169,Parada,-8.10878884201486,-34.9349555545879,,,,,America/Recife
868,20170,20170,Parada,-8.1100499504792,-34.9365249996077,,,,,America/Recife
869,20171,20171,Parada,-8.11240828551825,-34.9382999994041,,,,,America/Recife
870,20172,20172,Parada,-8.1149971729361,-34.940083332644,,,,,America/Recife
871,20173,20173,Parada,-8.11689994876708,-34.9413999992565,,,,,America/Recife
872,20174,20174,Parada,-8.11829717313525,-34.9423777770238,,,,,America/Recife
6140,190046,190046,Parada,-8.12320273268824,-34.9436916656347,,,,,America/Recife
6141,190047,190047,Parada,-8.12650272814097,-34.9440777767874,,,,,America/Recife
6142,190048,190048,Parada,-8.13089439298045,-34.9452611108705,,,,,America/Recife
6143,190049,190049,Parada,-8.13247772665974,-34.9465472213659,,,,,America/Recife
5610,170023,170023,Parada,-8.13385828216331,-34.9494416663886,,,,,America/Recife
5611,170024,170024,Parada,-8.13529161648421,-34.9515499997486,,,,,America/Recife
5612,170025,170025,Parada,-8.13645828149801,-34.9543194439677,,,,,America/Recife
5613,170026,170026,Parada,-8.13558883989311,-34.9579361108514,,,,,America/Recife
5621,170034,170034,Parada,-8.13011106294145,-34.9595333326376,,,,,America/Recife
5622,170035,170035,Parada,-8.12856939225902,-34.9607416661938,,,,,America/Recife
5631,170044,170044,Parada,-8.127991618255,-34.9620333324375,,,,,America/Recife
5632,170045,170045,Parada,-8.12619717721325,-34.9620444440803,,,,,America/Recife
5674,170087,170087,Parada,-8.13050550789804,-34.9477055551244,,,,,America/Recife
903,20205,20205,Parada,-8.12672217841591,-34.9466111105074,,,,,America/Recife
904,20206,20206,Parada,-8.12573328603085,-34.9461111103706,,,,,America/Recife
908,20210,20210,Parada,-8.11939440017529,-34.9460916661981,,,,,America/Recife
7498,PA95124,EMBARQUE 13 - TI Tancredo Neves,Parada,-8.12175561677978,-34.912157342755,,,,,America/Recife
912,20214,20214,Parada,-8.11916939382906,-34.9462444440427,,,,,America/Recife
913,20215,20215,Parada,-8.1214971728774,-34.9462583328007,,,,,America/Recife
914,20216,20216,Parada,-8.12284717398128,-34.9481527775464,,,,,America/Recife
915,20217,20217,Parada,-8.12380828193195,-34.9480055552129,,,,,America/Recife
916,20218,20218,Parada,-8.12542495532847,-34.9465222212595,,,,,America/Recife
917,20219,20219,Parada,-8.12668606163421,-34.9467055552775,,,,,America/Recife
1177,20482,20482,Parada,-8.12719161529088,-34.9469749992743,,,,,America/Recife
1584,40135,40135,Parada,-8.09447773336322,-34.9729083327315,,,,,America/Recife
1585,40136,40136,Parada,-8.09733605835465,-34.9719416656432,,,,,America/Recife
1586,40137,40137,Parada,-8.09884995396594,-34.9705138885809,,,,,America/Recife
1587,40138,40138,Parada,-8.09949439209262,-34.9696833328439,,,,,America/Recife
1571,40122,40122,Parada,-8.10155828737587,-34.9685499993539,,,,,America/Recife
1572,40123,40123,Parada,-8.1029888404137,-34.9661444437187,,,,,America/Recife
1573,40124,40124,Parada,-8.10484717053301,-34.963902776828,,,,,America/Recife
1574,40125,40125,Parada,-8.10669162012528,-34.9632166664032,,,,,America/Recife
1576,40127,40127,Parada,-8.10899440013958,-34.9620666656493,,,,,America/Recife
967,20266,20266,Parada,-8.10960828358003,-34.9624972215075,,,,,America/Recife
968,20267,20267,Parada,-8.11060550581021,-34.9638111100835,,,,,America/Recife
7509,PA95135,2269,Parada,-8.11411277409973,-34.9636093929803,,,,,America/Recife
969,20268,20268,Parada,-8.11184439304044,-34.9638027775492,,,,,America/Recife
970,20269,20269,Parada,-8.11060550771869,-34.9636944441871,,,,,America/Recife
971,20270,20270,Parada,-8.10971106582181,-34.9623916664874,,,,,America/Recife
972,20271,20271,Parada,-8.11045551002389,-34.9605749989752,,,,,America/Recife
973,20272,20272,Parada,-8.11139995414808,-34.9577999996608,,,,,America/Recife
975,20274,20274,Parada,-8.11489995573497,-34.9596694438708,,,,,America/Recife
976,20275,20275,Parada,-8.11611106387024,-34.9592555550095,,,,,America/Recife
977,20276,20276,Parada,-8.11729162034677,-34.9590416656476,,,,,America/Recife
978,20277,20277,Parada,-8.11891106060641,-34.9601777767499,,,,,America/Recife
7507,PA95133,2001,Parada,-8.12795635960548,-34.9563061391346,,,,,America/Recife
981,20280,20280,Parada,-8.11729995513851,-34.9588388887037,,,,,America/Recife
982,20281,20281,Parada,-8.11460550679038,-34.9596194440131,,,,,America/Recife
1565,40116,40116,Parada,-8.10917494963615,-34.9618555548934,,,,,America/Recife
1566,40117,40117,Parada,-8.10824439840452,-34.9627111105523,,,,,America/Recife
1567,40118,40118,Parada,-8.10681662071018,-34.9629972212775,,,,,America/Recife
1568,40119,40119,Parada,-8.10523050491425,-34.9636916664165,,,,,America/Recife
1575,40126,40126,Parada,-8.10215273314576,-34.9672916658837,,,,,America/Recife
1570,40121,40121,Parada,-8.10080828161889,-34.9687916657438,,,,,America/Recife
1588,40139,40139,Parada,-8.09938328656432,-34.969688888684,,,,,America/Recife
1589,40140,40140,Parada,-8.09798051055918,-34.971177777126,,,,,America/Recife
1590,40141,40141,Parada,-8.09556384190498,-34.9727916660766,,,,,America/Recife
1714,50021,50021,Parada,-8.11186383648836,-35.014488888156,,,,,America/Recife
1695,50002,50002,Parada,-8.11126106247812,-35.0116222213658,,,,,America/Recife
1696,50003,50003,Parada,-8.11077494697559,-35.0064444434345,,,,,America/Recife
1697,50004,50004,Parada,-8.10958883707734,-35.0041555552205,,,,,America/Recife
1698,50005,50005,Parada,-8.10861384380674,-35.0015888879777,,,,,America/Recife
1699,50006,50006,Parada,-8.10867216916971,-34.9967583323847,,,,,America/Recife
1700,50007,50007,Parada,-8.10857217511934,-34.9929805549365,,,,,America/Recife
1701,50008,50008,Parada,-8.10836939843598,-34.9857694435611,,,,,America/Recife
1702,50009,50009,Parada,-8.10705828528183,-34.9813611107504,,,,,America/Recife
1453,40001,40001,Parada,-8.10498883702441,-34.9760555552601,,,,,America/Recife
1454,40002,40002,Parada,-8.10406661587059,-34.9751361108766,,,,,America/Recife
1455,40003,40003,Parada,-8.10218884070935,-34.9721444437686,,,,,America/Recife
1456,40004,40004,Parada,-8.10099995542989,-34.9699972220034,,,,,America/Recife
1457,40005,40005,Parada,-8.0983749527995,-34.9684416664768,,,,,America/Recife
